4236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEEDBACK_APP,FEEDBACK_VALUE,FEEDBACK_DATE,USER_ID,DATE,RTT,DOWNLOAD_LOSS_RATE,UPLOAD_LOSS_RATE,DOWNLOAD_JITTER,UPLOAD_JITTER,UDP_DOWNLOAD_THROUGHPUT,UDP_UPLOAD_THROUGHPUT,SKYPE___VOICE_CALL___MOS,YOUTUBE___VIDEO_PLAYBACK___P_720___MOS,NETWORK_CLASS,NETWORK_TYPE,MOBILE_GSM_CID,MOBILE_GSM_LAC,MOBILE_UMTS_PSC,MOBILE_OPERATOR,MOBILE_OPERATOR_COUNTRY_CODE,SIGNAL_STRENGTH_RSSI__dBm(0),SIGNAL_STRENGTH_LEVEL(0),IS_IN_AIRPLANE_MODE,IS_MOBILE_DATA_ENABLED,IS_ROAMING_DATA_ENABLED,IS_IN_NATIONAL_ROAMING,IS_IN_ROAMING,IS_WIFI_CONNECTED,SIGNAL_STRENGTH_RSSI__dBm(1),SIGNAL_STRENGTH_LEVEL(1),WIFI_SSID
EMAIL___GENERAL___MOS,5,18:39.2,6953c3b1-0a0c-4388-8514-6c7f6157150d,18:39.0,20871447.46,0,0,408195.46,457238.38,9732377.289,17283292.07,5,5,UNKNOWN,UNKNOWN,,,,,,-113,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,-65,4,eduroam
YOUTUBE___VIDEO_PLAYBACK___P_AUTO___MOS,5,22:33.1,6953c3b1-0a0c-4388-8514-6c7f6157150d,20:39.5,20253259.34,0,0,264801.56,381999.36,8520109.521,13135518.97,1,5,UNKNOWN,UNKNOWN,,,,,,-113,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,-66,4,eduroam
YOUTUBE___VIDEO_PLAYBACK___P_AUTO___MOS,5,22:33.1,6953c3b1-0a0c-4388-8514-6c7f6157150d,20:39.5,20253259.34,0,0,264801.56,381999.36,8520109.521,13135518.97,1,5,UNKNOWN,UNKNOWN,,,,,,-113,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,-66,4,eduroam
YOUTUBE___GENERAL___MOS,3,35:00.5,cb37e0a5-814b-4d20-a5e4-7def1641e7b5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOUTUBE___VIDEO_PLAYBACK___P_AUTO___MOS,3,35:39.3,cb37e0a5-814b-4d20-a5e4-7def1641e7b5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOUTUBE___VIDEO_PLAYBACK___P_AUTO___MOS,3,35:39.3,cb37e0a5-814b-4d20-a5e4-7def1641e7b5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOUTUBE___GENERAL___MOS,3,45:16.5,cb37e0a5-814b-4d20-a5e4-7def1641e7b5,45:13.2,1765587115,0,0,16007503.66,23149664.38,1347716.613,42874.88351,5,3,3G,HSUPA,6649652,1101,0,63601,et,-83,5,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,#NAME?,-2147483648,<unknown ssid>
YOUTUBE___GENERAL___MOS,1,23:05.6,53e663c1-a56c-4ed2-8b22-e27483238935,22:01.7,#NULL!,1,1,0,0,0,0,1,1,3G,HSPA,,,,,,-76,6,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,#NAME?,-2147483648,<unknown ssid>
YOUTUBE___GENERAL___MOS,2,34:14.7,6cfafa61-7de1-4302-bf2d-f11611d8c99f,33:09.4,#NULL!,1,1,0,0,0,0,1,1,3G,HSUPA,6649725,1101,-1,63601,et,-75,5,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,#NAME?,-2147483648,<unknown ssid>
YOUTUBE___GENERAL___MOS,4,38:20.6,6cfafa61-7de1-4302-bf2d-f11611d8c99f,36:14.4,#NULL!,1,1,0,0,0,0,1,1,2G,EDGE,6649719,1101,-1,63601,et,-51,5,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,#NAME?,-2147483648,<unknown ssid>
YOUTUBE___GENERAL___MOS,4,38:20.6,6cfafa61-7de1-4302-bf2d-f11611d8c99f,36:14.4,#NULL!,1,1,0,0,0,0,1,1,2G,EDGE,6649719,1101,-1,63601,et,-51,5,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,#NAME?,-2147483648,<unknown ssid>
YOUTUBE___GENERAL___MOS,4,38:20.6,6cfafa61-7de1-4302-bf2d-f11611d8c99f,36:14.4,#NULL!,1,1,0,0,0,0,1,1,2G,EDGE,6649719,1101,-1,63601,et,-51,5,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,#NAME?,-2147483648,<unknown ssid>
YOUTUBE___GENERAL___MOS,4,39:47.4,6cfafa61-7de1-4302-bf2d-f11611d8c99f,40:30.0,#NULL!,1,1,0,0,0,0,1,1,3G,HSPAP,6649719,1101,-1,63601,et,-73,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,#NAME?,-2147483648,<unknown ssid>
SKYPE___GENERAL___MOS,4,42:04.4,53e663c1-a56c-4ed2-8b22-e27483238935,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKYPE___GENERAL___MOS,3,42:18.3,53e663c1-a56c-4ed2-8b22-e27483238935,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOUTUBE___GENERAL___MOS,1,59:26.0,547119ec-f0f8-4246-b8b6-db8a7c881e5c,59:41.8,172211718,0.25,0,1462940.373,967358.4,6904033.241,6688152.991,1,1,4G,LTE,270851,11212,-1,63601,et,-92,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,#NAME?,-2147483648,<unknown ssid>
YOUTUBE___GENERAL___MOS,3,01:35.2,547119ec-f0f8-4246-b8b6-db8a7c881e5c,01:29.9,179543672.7,0.14,0,730739.4419,1780200.72,6550998.812,1423289.282,5,3,4G,LTE,270849,11212,-1,63601,et,-95,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,#NAME?,-2147483648,<unknown ssid>
YOUTUBE___GENERAL___MOS,2,18:20.4,2d8046c6-adc9-4fe1-ab95-8ed857d6de23,18:07.8,205577013.6,0.15,0,421224.1176,2832199.08,9448043.229,1255947.446,5,3,4G,LTE,270850,11212,-1,63601,et,-100,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,#NAME?,2147483647,0x
YOUTUBE___GENERAL___MOS,3,18:30.9,2d8046c6-adc9-4fe1-ab95-8ed857d6de23,18:53.8,192238904.1,0.15,0,479808.2353,11376777.94,9199998.872,1861018.515,5,3,4G,LTE,270850,11212,-1,63601,et,-99,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,#NAME?,2147483647,0x
