FB Mos 1 vs ITU_QoE,ITU_QoE_Class_1,FB MoS 2 vs IUT_QoE,IUT_QoE_Class_2,FB MoS 3 vs ITU_QoE,ITU_QoE_Class_3,FB MoS 4 vs ITU_QoE,ITU_QoE_Class_4,FB MoS 5 vs ITU_QoE,ITU_QoE_Class_5
1.732017993,1.732017993,2.205259989,2.205259989,2.189200406,2.189200406,1.749120434,1.749120434,2.005618939,2.005618939
1.738011452,1.738011452,2.205259989,2.205259989,2.201341794,2.201341794,1.749120434,1.749120434,2.019976475,2.019976475
1.738011452,1.738011452,2.207593162,2.207593162,2.203377301,2.203377301,1.749120434,1.749120434,2.026052869,2.026052869
1.738011452,1.738011452,2.207593162,2.207593162,2.207593162,2.207593162,1.749120434,1.749120434,2.026052869,2.026052869
1.738011452,1.738011452,2.207593162,2.207593162,2.207593162,2.207593162,1.766439049,1.766439049,2.026052869,2.026052869
1.741964494,1.741964494,2.221411587,2.221411587,2.207593162,2.207593162,1.781238165,1.781238165,2.026052869,2.026052869
1.741964494,1.741964494,2.221411587,2.221411587,2.207593162,2.207593162,1.815826268,1.815826268,2.026052869,2.026052869
1.741964494,1.741964494,2.225726755,2.225726755,2.207593162,2.207593162,1.815826268,1.815826268,2.032244489,2.032244489
1.741964494,1.741964494,2.225726755,2.225726755,2.207593162,2.207593162,1.815826268,1.815826268,2.032244489,2.032244489
1.741964494,1.741964494,2.225726755,2.225726755,2.207593162,2.207593162,1.817486456,1.817486456,2.046821343,2.046821343
1.747765409,1.747765409,2.230139702,2.230139702,2.207593162,2.207593162,1.817486456,1.817486456,2.046821343,2.046821343
1.747765409,1.747765409,2.230139702,2.230139702,2.207593162,2.207593162,1.82784464,1.82784464,2.054423077,2.054423077
1.747765409,1.747765409,2.230139702,2.230139702,2.207593162,2.207593162,1.85662383,1.85662383,2.054423077,2.054423077
1.747765409,1.747765409,2.230139702,2.230139702,2.216195088,2.216195088,1.869230827,1.869230827,2.054423077,2.054423077
1.747765409,1.747765409,2.264739472,2.264739472,2.219231639,2.219231639,1.869230827,1.869230827,2.054423077,2.054423077
1.747765409,1.747765409,2.266794512,2.266794512,2.221700044,2.221700044,1.869230827,1.869230827,2.054423077,2.054423077
1.750701746,1.750701746,2.266794512,2.266794512,2.225737792,2.225737792,1.869230827,1.869230827,2.054423077,2.054423077
1.750701746,1.750701746,2.26899109,2.26899109,2.225737792,2.225737792,1.869230827,1.869230827,2.054423077,2.054423077
1.750701746,1.750701746,2.268999801,2.268999801,2.225737792,2.225737792,1.869230827,1.869230827,2.069491175,2.069491175
1.836171244,1.836171244,2.268999801,2.268999801,2.225737792,2.225737792,1.869230827,1.869230827,2.069491175,2.069491175
1.836171244,1.836171244,2.268999801,2.268999801,2.225737792,2.225737792,1.869230827,1.869230827,2.069491175,2.069491175
1.836171244,1.836171244,2.271484606,2.271484606,2.225737792,2.225737792,1.869230827,1.869230827,2.069491175,2.069491175
1.836171244,1.836171244,2.273434053,2.273434053,2.230139702,2.230139702,1.869230827,1.869230827,2.069491175,2.069491175
1.836171244,1.836171244,2.302132105,2.302132105,2.234349123,2.234349123,1.869230827,1.869230827,2.069491175,2.069491175
1.836171244,1.836171244,2.302132105,2.302132105,2.251277758,2.251277758,1.869230827,1.869230827,2.069491175,2.069491175
1.836171244,1.836171244,2.370692867,2.370692867,2.264739472,2.264739472,1.86952921,1.86952921,2.069491175,2.069491175
1.850737741,1.850737741,2.370692867,2.370692867,2.264739472,2.264739472,1.871961093,1.871961093,2.069491175,2.069491175
1.8614087,1.8614087,2.370692867,2.370692867,2.264739472,2.264739472,1.871961093,1.871961093,2.107152878,2.107152878
1.8614087,1.8614087,2.370692867,2.370692867,2.264739472,2.264739472,1.871961093,1.871961093,2.107152878,2.107152878
1.900379563,1.900379563,2.370692867,2.370692867,2.264739472,2.264739472,1.872248976,1.872248976,2.107152878,2.107152878
1.900379563,1.900379563,2.370692867,2.370692867,2.264739472,2.264739472,1.872248976,1.872248976,2.10956717,2.10956717
1.900379563,1.900379563,2.435070212,2.435070212,2.264739472,2.264739472,1.876509705,1.876509705,2.10956717,2.10956717
1.900379563,1.900379563,2.435070212,2.435070212,2.264739472,2.264739472,1.876509705,1.876509705,2.177176662,2.177176662
1.900379563,1.900379563,2.482430011,2.482430011,2.264739472,2.264739472,1.876509705,1.876509705,2.207593162,2.207593162
1.906695973,1.906695973,2.483688381,2.483688381,2.266794512,2.266794512,1.887795797,1.887795797,2.207593162,2.207593162
1.906695973,1.906695973,2.525390251,2.525390251,2.266794512,2.266794512,1.887795797,1.887795797,2.209525566,2.209525566
1.906695973,1.906695973,2.528820469,2.528820469,2.266794512,2.266794512,1.887795797,1.887795797,2.218430017,2.218430017
1.906695973,1.906695973,2.528820469,2.528820469,2.266794512,2.266794512,1.887795797,1.887795797,2.219231639,2.219231639
1.906695973,1.906695973,2.595254831,2.595254831,2.266794512,2.266794512,1.887795797,1.887795797,2.219231639,2.219231639
1.942579449,1.942579449,2.614018829,2.614018829,2.266794512,2.266794512,1.887795797,1.887795797,2.219231639,2.219231639
1.94498615,1.94498615,2.651234063,2.651234063,2.266794512,2.266794512,1.906695973,1.906695973,2.219231639,2.219231639
1.953763751,1.953763751,2.667716471,2.667716471,2.266794512,2.266794512,1.914833773,1.914833773,2.219231639,2.219231639
1.953763751,1.953763751,2.723708426,2.723708426,2.266794512,2.266794512,1.931346464,1.931346464,2.219231639,2.219231639
1.953763751,1.953763751,2.725298656,2.725298656,2.266794512,2.266794512,1.931346464,1.931346464,2.219231639,2.219231639
1.953763751,1.953763751,2.725298656,2.725298656,2.266794512,2.266794512,1.935363808,1.935363808,2.219231639,2.219231639
1.973296425,1.973296425,2.798020207,2.798020207,2.26899109,2.26899109,1.935363808,1.935363808,2.219231639,2.219231639
2.003464896,2.003464896,2.818199854,2.818199854,2.302067702,2.302067702,1.935363808,1.935363808,2.219231639,2.219231639
2.003464896,2.003464896,2.818199854,2.818199854,2.347570818,2.347570818,1.935363808,1.935363808,2.221700044,2.221700044
2.003464896,2.003464896,3.292048056,3.292048056,2.370692867,2.370692867,1.935363808,1.935363808,2.228716669,2.228716669
2.003464896,2.003464896,3.29828734,3.29828734,2.370692867,2.370692867,1.935363808,1.935363808,2.228716669,2.228716669
2.003464896,2.003464896,3.377038127,3.377038127,2.374268885,2.374268885,1.936414916,1.936414916,2.228716669,2.228716669
2.003464896,2.003464896,3.38109756,3.38109756,2.413051887,2.413051887,1.936414916,1.936414916,2.24040555,2.24040555
2.003464896,2.003464896,3.424678756,3.424678756,2.413051887,2.413051887,1.936414916,1.936414916,2.24040555,2.24040555
2.003464896,2.003464896,3.44095256,3.44095256,2.413051887,2.413051887,1.938650915,1.938650915,2.24040555,2.24040555
2.003464896,2.003464896,3.557511335,3.557511335,2.415906072,2.415906072,1.938650915,1.938650915,2.24040555,2.24040555
2.00768545,2.00768545,3.557511335,3.557511335,2.446602547,2.446602547,1.938650915,1.938650915,2.24040555,2.24040555
2.00768545,2.00768545,3.557511335,3.557511335,2.446792009,2.446792009,1.938650915,1.938650915,2.24040555,2.24040555
2.017019526,2.017019526,3.712255389,3.712255389,2.446792009,2.446792009,1.942579449,1.942579449,2.251277758,2.251277758
2.017019526,2.017019526,3.712370386,3.712370386,2.446792009,2.446792009,1.942579449,1.942579449,2.261830152,2.261830152
2.017019526,2.017019526,3.93485184,3.93485184,2.464650275,2.464650275,1.942579449,1.942579449,2.261830152,2.261830152
2.017019526,2.017019526,3.971658444,3.971658444,2.483688381,2.483688381,1.942579449,1.942579449,2.316340894,2.316340894
2.017019526,2.017019526,3.973941039,3.973941039,2.493524797,2.493524797,1.942579449,1.942579449,2.316340894,2.316340894
2.017019526,2.017019526,4.275065616,4.275065616,2.504013425,2.504013425,1.942579449,1.942579449,2.316340894,2.316340894
2.017019526,2.017019526,4.278155794,4.278155794,2.50676919,2.50676919,1.942579449,1.942579449,2.316340894,2.316340894
2.017019526,2.017019526,,,2.50676919,2.50676919,1.947713287,1.947713287,2.316340894,2.316340894
2.017019526,2.017019526,,,2.533756982,2.533756982,1.947713287,1.947713287,2.316340894,2.316340894
2.017019526,2.017019526,,,2.533756982,2.533756982,1.947713287,1.947713287,2.316340894,2.316340894
2.017019526,2.017019526,,,2.533756982,2.533756982,1.947713287,1.947713287,2.316340894,2.316340894
2.017019526,2.017019526,,,2.533756982,2.533756982,1.947928555,1.947928555,2.316340894,2.316340894
2.017089174,2.017089174,,,2.533756982,2.533756982,1.95294412,1.95294412,2.316340894,2.316340894
2.017089174,2.017089174,,,2.536441684,2.536441684,1.953763751,1.953763751,2.316340894,2.316340894
2.017089174,2.017089174,,,2.536441684,2.536441684,1.953763751,1.953763751,2.316340894,2.316340894
2.024329338,2.024329338,,,2.545635912,2.545635912,1.953763751,1.953763751,2.316340894,2.316340894
2.06882598,2.06882598,,,2.545635912,2.545635912,1.953763751,1.953763751,2.316340894,2.316340894
2.06882598,2.06882598,,,2.545635912,2.545635912,1.957792502,1.957792502,2.316340894,2.316340894
2.06882598,2.06882598,,,2.545635912,2.545635912,1.962334269,1.962334269,2.316340894,2.316340894
2.06882598,2.06882598,,,2.545635912,2.545635912,1.967888729,1.967888729,2.351546767,2.351546767
2.06882598,2.06882598,,,2.55904716,2.55904716,1.967888729,1.967888729,2.351546767,2.351546767
2.06882598,2.06882598,,,2.559247624,2.559247624,1.967888729,1.967888729,2.351546767,2.351546767
2.06882598,2.06882598,,,2.559247624,2.559247624,1.969395029,1.969395029,2.370692867,2.370692867
2.06882598,2.06882598,,,2.559247624,2.559247624,1.969395029,1.969395029,2.413808221,2.413808221
2.06882598,2.06882598,,,2.583264355,2.583264355,1.969395029,1.969395029,2.435534323,2.435534323
2.10322662,2.10322662,,,2.631893724,2.631893724,1.969395029,1.969395029,2.435534323,2.435534323
2.10322662,2.10322662,,,2.631893724,2.631893724,1.969395029,1.969395029,2.435534323,2.435534323
2.10322662,2.10322662,,,2.631893724,2.631893724,1.969395029,1.969395029,2.435534323,2.435534323
2.166664368,2.166664368,,,2.631893724,2.631893724,1.969395029,1.969395029,2.435534323,2.435534323
2.166664368,2.166664368,,,2.655636658,2.655636658,1.969395029,1.969395029,2.435534323,2.435534323
2.176274001,2.176274001,,,2.655636658,2.655636658,1.969395029,1.969395029,2.435534323,2.435534323
2.176274001,2.176274001,,,2.725298656,2.725298656,1.970023759,1.970023759,2.435534323,2.435534323
2.176274001,2.176274001,,,2.725298656,2.725298656,1.973296425,1.973296425,2.441697279,2.441697279
2.178477048,2.178477048,,,2.725298656,2.725298656,1.973296425,1.973296425,2.464650275,2.464650275
2.190412935,2.190412935,,,2.756754375,2.756754375,1.973296425,1.973296425,2.472123273,2.472123273
2.190412935,2.190412935,,,2.756754375,2.756754375,1.973296425,1.973296425,2.484660307,2.484660307
2.190412935,2.190412935,,,2.756754375,2.756754375,1.973296425,1.973296425,2.484660307,2.484660307
2.190412935,2.190412935,,,2.958159166,2.958159166,1.973296425,1.973296425,2.484660307,2.484660307
2.190412935,2.190412935,,,3.046571588,3.046571588,1.973296425,1.973296425,2.484660307,2.484660307
2.190412935,2.190412935,,,3.046571588,3.046571588,1.973296425,1.973296425,2.484660307,2.484660307
2.190412935,2.190412935,,,3.046571588,3.046571588,1.978423716,1.978423716,2.484660307,2.484660307
2.190412935,2.190412935,,,3.128899667,3.128899667,1.980892502,1.980892502,2.484660307,2.484660307
2.190412935,2.190412935,,,3.128899667,3.128899667,1.980892502,1.980892502,2.486828346,2.486828346
2.190412935,2.190412935,,,3.131849432,3.131849432,1.997940903,1.997940903,2.486828346,2.486828346
2.19906262,2.19906262,,,3.216264183,3.216264183,1.997940903,1.997940903,2.493524797,2.493524797
2.205259989,2.205259989,,,3.216264183,3.216264183,1.997940903,1.997940903,2.493524797,2.493524797
2.205259989,2.205259989,,,3.231174984,3.231174984,1.997940903,1.997940903,2.517649163,2.517649163
2.20538326,2.20538326,,,3.231174984,3.231174984,1.997940903,1.997940903,2.517649163,2.517649163
2.20538326,2.20538326,,,3.319044623,3.319044623,1.997940903,1.997940903,2.517649163,2.517649163
2.20538326,2.20538326,,,3.377038127,3.377038127,1.997940903,1.997940903,2.517649163,2.517649163
2.20538326,2.20538326,,,3.430352529,3.430352529,1.997940903,1.997940903,2.519108638,2.519108638
2.20538326,2.20538326,,,3.430352529,3.430352529,1.997940903,1.997940903,2.519108638,2.519108638
2.20538326,2.20538326,,,3.430352529,3.430352529,1.997940903,1.997940903,2.519108638,2.519108638
2.216195088,2.216195088,,,3.44095256,3.44095256,1.997940903,1.997940903,2.519108638,2.519108638
2.240564065,2.240564065,,,3.44095256,3.44095256,2.00263703,2.00263703,2.519108638,2.519108638
2.256668098,2.256668098,,,3.44095256,3.44095256,2.003464896,2.003464896,2.519108638,2.519108638
2.268999801,2.268999801,,,3.44095256,3.44095256,2.004252372,2.004252372,2.519108638,2.519108638
2.268999801,2.268999801,,,3.44095256,3.44095256,2.005618939,2.005618939,2.519108638,2.519108638
2.268999801,2.268999801,,,3.44095256,3.44095256,2.013474913,2.013474913,2.519108638,2.519108638
2.300804345,2.300804345,,,3.485482256,3.485482256,2.013474913,2.013474913,2.519108638,2.519108638
2.300804345,2.300804345,,,3.500273858,3.500273858,2.013474913,2.013474913,2.519108638,2.519108638
2.300804345,2.300804345,,,3.508348955,3.508348955,2.013474913,2.013474913,2.519108638,2.519108638
2.300804345,2.300804345,,,3.557511335,3.557511335,2.013474913,2.013474913,2.519108638,2.519108638
2.300804345,2.300804345,,,3.557511335,3.557511335,2.013474913,2.013474913,2.519108638,2.519108638
